title,year,binary,budget_2013,domgross_2013,gross_millions,log_gross
21 & Over,2013,FAIL,13000000,25682380,25.68238,3.2458051536550414
Dredd 3D,2012,PASS,45658735,13611086,13.611086,2.6108846077489014
12 Years a Slave,2013,FAIL,20000000,53107035,53.107035,3.972309405348121
2 Guns,2013,FAIL,61000000,75612460,75.61246,4.325621084419833
42,2013,FAIL,40000000,95020213,95.020213,4.554089637389603
47 Ronin,2013,FAIL,225000000,38362475,38.362475,3.647079768267571
A Good Day to Die Hard,2013,FAIL,92000000,67349198,67.349198,4.209890994841895
About Time,2013,PASS,12000000,15323921,15.323921,2.729415071513185
Admission,2013,PASS,13000000,18007317,18.007317,2.8907781752974233
After Earth,2013,FAIL,130000000,60522097,60.522097,4.103008538022446
American Hustle,2013,PASS,40000000,148430908,148.430908,5.000119583979682
August: Osage County,2013,PASS,25000000,37304874,37.304874,3.619123988354444
Beautiful Creatures,2013,PASS,50000000,19452138,19.452138,2.9679569869025557
Blue Jasmine,2013,PASS,18000000,33345833,33.345833,3.506932817028803
Captain Phillips,2013,FAIL,55000000,107136417,107.136417,4.6741029476684846
Carrie,2013,PASS,30000000,35266619,35.266619,3.5629368791483707
Cloudy with a Chance of Meatballs 2,2013,FAIL,78000000,119640264,119.640264,4.784489440379172
Despicable Me 2,2013,PASS,76000000,368065385,368.065385,5.908260599016742
Don Jon,2013,FAIL,5500000,24477704,24.477704,3.1977626623958155
Elysium,2013,PASS,120000000,93050117,93.050117,4.53313824047597
Ender's Game,2013,FAIL,110000000,61737191,61.737191,4.1228865207924645
Epic,2013,PASS,100000000,107518682,107.518682,4.677664618515183
Escape from Planet Earth,2013,PASS,40000000,57012977,57.012977,4.043278908589094
Escape Plan,2013,FAIL,70000000,25213103,25.213103,3.2273638197023122
Evil Dead,2013,PASS,17000000,54239856,54.239856,3.993415988761359
Fast and Furious 6,2013,PASS,160000000,238679850,238.67985,5.475123114197173
Frozen,2013,PASS,150000000,393050114,393.050114,5.9739371202791585
G.I. Joe: Retaliation,2013,PASS,140000000,122523060,122.52306,4.808299257166893
Gangster Squad,2013,FAIL,60000000,46000903,46.000903,3.8286610267312033
Gloria,2013,PASS,30000000,4167493,4.167493,1.4273146559773342
Gravity,2013,FAIL,110000000,271814796,271.814796,5.605120937321492
Grown Ups 2,2013,FAIL,80000000,133668525,133.668525,4.895363041284959
Hansel & Gretel: Witch Hunters,2013,PASS,50000000,55703475,55.703475,4.020042532778943
Her,2013,FAIL,23000000,25000178,25.000178,3.2188829448428535
Identity Thief,2013,FAIL,35000000,134506920,134.50692,4.901615647532524
Insidious: Chapter 2,2013,FAIL,5000000,83586447,83.586447,4.425881389723358
Iron Man 3,2013,FAIL,200000000,408992272,408.992272,6.013696260998766
Jack the Giant Slayer,2013,FAIL,195000000,65187603,65.187603,4.177269312817269
Kick-Ass 2,2013,PASS,28000000,28795985,28.795985,3.3602359677012394
Last Vegas,2013,FAIL,28000000,63914167,63.914167,4.157541042600689
Lee Daniels' The Butler,2013,PASS,30000000,116632095,116.632095,4.759024493329934
Machete Kills,2013,PASS,2000000,8008161,8.008161,2.0804611467059235
Mama,2013,PASS,15000000,71628180,71.62818,4.271488571955105
Man of Steel,2013,PASS,225000000,291045518,291.045518,5.673479674183264
Nebraska,2013,PASS,12000000,17482517,17.482517,2.8612013529963845
