"female","earn","height"
0,50000,74
1,60000,66
1,30000,64
1,50000,63
1,51000,63
1,9000,64
1,29000,62
0,32000,73
0,2000,72
0,27000,72
0,6530,70
0,30000,68
0,12000,68
1,12000,65
1,22000,66
0,17000,68
1,40000,68
0,44000,70
1,7000,64
0,53000,73
1,5000,62
1,14000,63
0,5500,67
1,40000,66
0,34000,72
1,10000,63
1,27000,64
0,50000,72
0,41000,77
1,15000,64
1,25000,64
0,75000,72
0,27000,68
1,12000,64
1,7500,61
1,30000,67
1,21000,65
1,27000,64
1,3000,67
1,25000,65
1,24000,65
1,32000,67
1,10000,68
1,11000,60
1,18700,65
1,20000,62
0,3500,72
0,13000,67
0,25000,70
0,21000,70
1,34000,68
1,6000,60
0,17000,71
0,35000,71
0,4000,73
1,14000,68
1,10000,66
0,25000,69
1,16000,63
0,16000,62
1,16500,64
1,4000,64
1,3840,67
0,22000,71
1,200,60
1,26000,66
1,2500,66
1,17000,65
1,8000,70
1,12000,66
1,10000,62
1,10000,66
0,15000,72
1,2400,67
0,30000,68
0,30000,70
1,10000,62
1,5000,63
1,12000,66
1,20000,70
1,20000,68
0,20000,70
1,1200,66
1,700,68
0,20000,70
1,10000,61
1,30000,63
1,40000,64
0,25000,67
1,10000,61
1,60000,69
1,18000,68
1,16040,64
1,15000,67
0,10000,69
1,33000,67
1,18000,68
1,15000,63
0,21000,71
1,21000,64
0,37000,68
1,38000,68
1,17000,66
0,32000,77
1,27500,67
1,16500,62
1,25000,67
1,27000,61
1,5000,64
1,70000,62
1,5000,63
0,5000,68
1,20000,64
0,4000,72
1,60000,64
1,5000,61
0,30000,74
0,70000,70
0,50000,71
1,44000,63
1,30000,64
1,10000,62
1,23000,70
0,45000,71
0,15000,71
1,4000,70
0,17000,67
1,30000,64
1,27500,67
1,5688,62
1,18000,62
0,43000,68
1,32000,62
1,10000,68
0,60000,74
1,21000,68
1,2400,62
1,1000,66
0,27000,68
1,6600,60
0,16000,68
0,90000,72
1,8000,66
0,20000,68
1,15000,68
1,12000,69
1,24000,64
1,20000,65
1,19000,61
0,10000,72
1,40000,66
0,25000,68
0,25000,70
0,25000,71
0,19000,71
0,44000,68
1,15000,60
1,17000,63
0,24000,68
1,23000,64
0,13000,70
0,65000,68
1,7000,61
0,40000,68
1,15000,66
0,20000,70
0,20000,71
1,20000,65
1,25000,66
0,49000,70
1,25000,62
1,11000,66
1,16000,61
0,35000,72
0,125000,74
1,23000,67
1,17000,66
1,27000,62
0,70000,72
1,35000,65
1,10000,60
1,35000,62
1,15000,66
1,12000,64
0,8000,71
1,8000,65
0,35000,73
0,45000,69
1,15000,64
1,15000,61
1,24000,67
1,25000,62
1,25000,63
0,20000,67
1,24000,68
0,44000,72
0,69000,70
0,62000,70
0,32000,67
1,20000,63
1,32000,66
1,25000,66
0,170000,71
0,35000,67
0,40000,76
0,33000,69
1,18000,65
1,30000,62
1,26000,62
1,5000,62
1,20000,62
1,17000,61
1,32000,65
0,15000,72
0,50000,72
1,8000,64
0,40000,71
0,40000,72
0,32750,66
1,20000,65
1,36000,65
1,6000,62
1,12000,66
0,60000,67
1,40000,64
1,43000,63
1,45000,67
1,6000,68
1,8000,64
1,20000,64
0,17000,66
1,2000,65
0,65000,65
0,50000,72
1,11000,68
0,35000,74
0,27000,63
1,3500,64
0,42000,68
1,20000,67
1,15000,67
0,10000,73
0,6000,70
1,17000,65
0,35000,69
0,28000,77
1,15000,68
1,20000,62
1,20000,64
0,10500,67
0,13000,70
1,10000,62
1,3000,63
1,24000,62
1,17000,69
1,11000,64
1,32000,69
1,17000,59
1,3000,66
1,2100,62
0,3192,75
1,17000,63
1,30000,65
0,15000,70
1,24000,68
1,10000,65
0,50000,69
0,50000,72
1,20000,64
1,30000,63
1,22000,73
0,27000,75
1,4000,65
1,17500,66
1,16500,66
1,28000,64
1,52000,66
1,15000,64
1,19000,63
0,27000,73
0,15000,72
0,15000,72
1,14500,64
1,24000,64
0,18000,68
1,4000,62
1,4000,69
1,700,60
1,24000,65
0,27000,76
1,12000,72
1,22000,62
1,30000,62
0,35000,71
0,20000,74
1,32000,65
1,6000,63
1,12000,67
1,10000,63
1,1000,65
1,12000,64
1,16000,65
1,25000,63
1,25000,70
0,32000,68
0,35000,67
1,6000,65
0,80000,69
1,20000,68
1,1000,66
0,28000,71
0,26000,64
0,27000,74
1,18000,62
1,2000,65
0,20000,69
1,6000,66
0,25000,67
0,12000,73
0,12000,76
0,30000,70
1,4000,63
1,26000,63
0,23000,70
0,21000,71
1,25000,65
0,18000,70
1,4000,63
1,23900,64
1,35000,64
0,26000,67
0,25000,66
1,23500,68
1,12000,65
1,15000,67
0,3000,73
1,6000,64
0,14000,71
1,15000,63
0,175000,71
0,1000,73
1,10000,65
0,45000,66
1,15000,66
1,20000,59
0,35000,70
0,40000,72
1,35000,64
1,50000,66
0,1e+05,70
0,35000,69
1,24000,68
0,35000,74
0,38000,73
0,30000,67
1,5000,64
0,148000,67
0,30000,70
1,6500,64
1,3000,62
0,23000,69
0,40000,68
0,30000,72
1,14000,63
1,15000,69
1,26000,64
1,8000,71
1,24000,64
0,5124,66
1,10000,61
1,12000,68
0,50000,68
1,23000,64
0,40000,66
1,6000,62
1,5000,65
0,110000,66
0,41000,72
1,23000,63
0,21000,70
1,4000,62
0,25000,71
0,30000,70
1,14000,64
1,6000,63
1,14000,65
0,43000,71
1,25000,62
0,40000,73
0,65000,68
0,16000,76
1,8000,66
1,20000,64
1,14000,60
0,45000,68
1,8000,61
0,12000,66
1,8000,63
1,16000,63
0,6000,74
0,19000,70
1,21000,68
1,43000,70
0,35000,69
0,8000,70
1,21000,63
1,5800,65
0,17000,69
0,24000,68
1,5000,62
1,11000,66
0,10000,65
0,40000,70
0,40000,70
1,24000,66
0,24000,68
0,20000,68
0,60000,70
1,11000,65
1,5000,64
1,27000,65
0,89000,77
0,40000,70
1,15000,64
1,1000,64
1,22000,64
1,12000,64
1,22000,63
1,40000,58
1,40000,62
1,35000,64
1,7000,64
1,14000,62
1,15000,64
1,6000,66
1,11000,69
1,10000,64
0,20000,71
1,7000,62
0,38000,68
0,29000,68
1,20000,62
1,8000,63
0,36000,69
1,1500,67
1,42000,64
0,25000,70
0,13000,69
0,30000,69
0,7000,69
1,31000,60
1,15000,66
0,50000,67
0,5000,66
1,600,70
1,14000,64
1,40000,60
0,24000,68
0,22000,73
0,20000,72
1,20112,64
0,12000,67
1,41000,67
0,13000,71
0,60000,73
0,24000,70
0,38000,70
1,3000,71
1,13000,66
0,5000,75
1,20000,60
0,22000,72
0,28000,75
1,22000,60
0,30000,73
1,30000,65
0,30000,67
1,32000,61
1,26000,69
1,22000,64
0,25000,70
1,11000,68
1,13000,62
1,10000,64
1,12000,68
1,7000,64
0,57000,73
0,36000,73
0,29000,69
1,8000,68
0,3000,71
1,20000,66
0,33000,66
1,15000,68
0,16000,70
1,5000,62
1,8000,66
1,32000,63
0,14500,75
1,13000,67
1,7000,63
1,50000,65
1,12000,69
0,19000,71
1,9000,62
1,20000,65
0,55000,72
1,10000,65
1,13000,63
1,20000,64
0,30000,72
1,12000,64
1,26000,70
1,12500,65
1,8000,64
1,15000,64
0,65000,67
0,25000,73
0,8000,73
0,15000,65
1,12000,64
1,35000,67
0,40000,67
0,29000,74
1,15000,63
0,20000,74
0,3000,74
1,1000,63
1,8000,62
1,5000,62
1,25000,67
0,20000,69
0,30000,73
1,12000,63
1,10000,67
0,16000,69
0,45000,71
0,40000,72
0,25000,70
1,19000,64
1,17600,64
0,7000,68
0,30000,74
1,18000,62
1,25000,65
1,6000,60
0,70000,69
1,15000,61
1,25000,65
1,35000,66
0,18000,70
0,28000,72
1,15000,64
0,22000,71
0,35000,73
1,18000,64
0,35000,68
1,16400,64
0,22000,66
1,30000,67
1,17000,64
1,25000,64
1,10000,62
0,40000,69
1,12500,63
0,35000,72
0,105000,75
0,1e+05,70
0,21000,69
1,10000,64
0,33000,72
0,26000,69
1,60000,63
0,18000,71
1,15000,59
0,5000,68
0,60000,77
1,12000,68
0,28000,70
0,42000,69
1,2000,63
0,20000,73
0,28000,66
0,10000,72
0,31000,72
1,17000,69
1,16000,67
1,35000,66
1,3000,67
1,16000,68
1,35000,65
1,27000,62
0,25000,69
0,40000,70
1,45000,66
0,14000,66
1,25000,66
0,40000,72
0,34000,69
0,40000,66
0,35000,69
1,12000,60
1,30000,65
1,23000,62
1,2000,67
0,20000,67
1,10000,68
1,60000,66
0,12000,74
1,25000,65
1,22000,63
0,8000,68
1,2000,66
1,18600,65
1,20000,62
0,1e+05,73
1,50000,62
0,27000,70
1,1000,58
0,18000,68
1,17000,67
1,10000,64
0,14000,70
0,7200,72
1,33000,63
0,23000,66
1,10000,65
0,22000,61
1,13000,61
1,33000,67
0,36000,73
1,10000,71
1,6000,64
1,12000,67
1,10000,62
1,21000,67
0,26000,69
1,22000,66
1,23000,66
0,20000,66
1,10000,66
1,15000,64
0,7000,72
1,15000,64
1,26000,65
0,10000,72
0,3000,71
1,27000,64
1,28000,64
1,15000,67
0,55000,75
1,20000,66
1,8500,67
0,30000,71
1,20000,68
0,22000,70
0,25000,67
0,3000,71
1,16000,63
1,10000,61
1,15000,65
0,28000,67
0,31500,65
0,95000,66
0,38000,67
0,30000,74
0,35900,74
1,12000,66
1,10000,69
1,45000,66
0,40000,74
0,21500,72
0,14000,66
0,38000,67
1,1000,65
0,14000,66
1,15000,65
1,24000,68
1,4500,64
1,18000,64
1,14000,63
1,10000,69
1,9500,67
1,11000,63
0,17000,67
1,6000,60
1,2500,62
0,40000,72
0,25000,67
1,28000,66
1,33000,66
1,4000,60
0,4100,65
1,25000,69
0,32000,72
1,13000,64
0,8000,64
1,17000,64
1,15000,67
0,18000,66
0,12000,73
0,7000,74
1,1200,65
0,14000,63
1,17000,63
0,30000,66
0,25000,70
1,22000,66
1,15000,63
0,27000,73
1,20000,63
1,9000,69
0,17000,73
1,1800,68
1,18000,64
1,25000,63
0,20000,70
1,75000,64
1,3500,66
1,36000,61
0,30000,72
1,25000,65
1,1000,64
0,60000,68
0,35000,74
0,9000,67
0,35000,70
1,11000,66
0,12000,71
0,30000,71
0,19000,71
0,9000,74
0,30000,75
0,9000,72
1,15000,66
1,8000,65
1,10000,66
0,33000,72
1,12000,60
1,18000,64
1,30000,65
1,12500,65
1,10000,62
0,8500,68
0,21000,73
1,21000,64
1,21000,68
1,5000,66
1,22000,71
0,30000,73
1,123000,61
1,8000,63
