"lon","lat","medv","crim","zn","indus","chas","nox","rm","age","dis","rad","tax","ptratio","lstat"
-71.149,42.2268,22.5,0.25199,0,10.59,"0",0.489,5.783,72.7,4.3549,4,277,18.6,18.06
-71.11,42.185,46.7,0.29819,0,6.2,"0",0.504,7.686,17,3.3751,8,307,17.4,3.92
-71.023,42.2287,11.3,9.18702,0,18.1,"0",0.7,5.536,100,1.5804,24,666,20.2,23.6
-71.1245,42.2277,25,0.19802,0,10.59,"0",0.489,6.182,42.4,3.9454,4,277,18.6,9.47
-71.1405,42.1632,33.2,0.10469,40,6.41,"1",0.447,7.267,49,4.7872,4,254,17.6,6.05
-71.0727,42.2077,36,0.66351,20,3.97,"0",0.647,7.333,100,1.8946,5,264,13,7.79
-70.947,42.0725,17.5,0.03113,0,4.39,"0",0.442,6.014,48.5,8.0136,3,352,18.8,10.53
-71.033,42.305,22.5,0.05188,0,4.49,"0",0.449,6.015,45.1,4.4272,3,247,18.5,12.86
-71.0975,42.1608,21.8,2.81838,0,18.1,"0",0.532,5.762,40.3,4.0983,24,666,20.2,10.42
-71.0465,42.145,36.1,0.05515,33,2.18,"0",0.472,7.236,41.1,4.022,7,222,18.4,6.93
-71.058,42.223,15.4,2.73397,0,19.58,"0",0.871,5.597,94.9,1.5257,5,403,14.7,21.45
-71.0625,42.102,26.4,0.09266,34,6.09,"0",0.433,6.495,18.4,5.4917,7,329,16.1,8.67
-70.936,42.283,34.7,0.02729,0,7.07,"0",0.469,7.185,61.1,4.9671,2,242,17.8,4.03
-71.2035,42.187,23.3,0.09252,30,4.93,"0",0.428,6.606,42.2,6.1899,6,300,16.6,7.37
-71.0475,42.261,22.8,0.10084,0,10.01,"0",0.547,6.715,81.6,2.6775,6,432,17.8,10.16
-71.0075,42.178,22.1,0.79041,0,9.9,"0",0.544,6.122,52.8,2.6403,4,304,18.4,5.98
-70.928,42.293,33.4,0.03237,0,2.18,"0",0.458,6.998,45.8,6.0622,3,222,18.7,2.94
-71.0815,42.225,50,1.51902,0,19.58,"1",0.605,8.375,93.9,2.162,5,403,14.7,3.32
-70.9295,42.3715,31.6,0.01432,100,1.32,"0",0.411,6.816,40.5,8.3248,5,256,15.1,3.95
-71.028,42.1565,28.2,0.04932,33,2.18,"0",0.472,6.849,70.3,3.1827,7,222,18.4,7.53
-71.0804,42.154,20.6,2.37857,0,18.1,"0",0.583,5.871,41.9,3.724,24,666,20.2,13.34
-71.134,42.2785,36.4,0.08664,45,3.44,"0",0.437,7.178,26.3,6.4798,5,398,15.2,2.87
-71.056,42.2605,21.7,0.10793,0,8.56,"0",0.52,6.195,54.4,2.7778,5,384,20.9,13
