x	y	img_gender	img_actor	img_emotion	id	validity	choice	x_res	y_res	img_left	img_top	img_right	img_bottom	group	trial	ppd	fix_dur	fix_number
702.933333333333	410.8	M	2	afraid.jpg	10IS	1	afraid	1366	768	209	68	1156	700	S	1	47.3433338048559	0.188888888888889	2
621.5	414.944444444444	M	2	afraid.jpg	10IS	1	afraid	1366	768	209	68	1156	700	S	1	47.3433338048559	0.1	3
588	400	M	2	afraid.jpg	10IS	1	afraid	1366	768	209	68	1156	700	S	1	47.3433338048559	0.0111111111111111	4
620.166666666667	417.166666666667	M	2	afraid.jpg	10IS	1	afraid	1366	768	209	68	1156	700	S	1	47.3433338048559	0.0333333333333333	5
671.375	549.46875	M	2	afraid.jpg	10IS	1	afraid	1366	768	209	68	1156	700	S	1	47.3433338048559	0.222222222222222	6
637.3	515.4	M	2	afraid.jpg	10IS	1	afraid	1366	768	209	68	1156	700	S	1	47.3433338048559	0.0555555555555555	7
658.5	554.5	M	2	afraid.jpg	10IS	1	afraid	1366	768	209	68	1156	700	S	1	47.3433338048559	0.0444444444444443	8
635.25	402.75	M	2	afraid.jpg	10IS	1	afraid	1366	768	209	68	1156	700	S	1	47.3433338048559	0.0222222222222224	9
672.5	408.5	M	2	afraid.jpg	10IS	1	afraid	1366	768	209	68	1156	700	S	1	47.3433338048559	0.0111111111111111	10
635.625	375.75	M	2	afraid.jpg	10IS	1	afraid	1366	768	209	68	1156	700	S	1	47.3433338048559	0.0444444444444445	11
669	409.5	M	2	afraid.jpg	10IS	1	afraid	1366	768	209	68	1156	700	S	1	47.3433338048559	0.0111111111111113	12
710.821428571429	413.464285714286	M	2	afraid.jpg	10IS	1	afraid	1366	768	209	68	1156	700	S	1	47.3433338048559	0.177777777777778	13
615.482142857143	410.964285714286	M	2	afraid.jpg	10IS	1	afraid	1366	768	209	68	1156	700	S	1	47.3433338048559	0.377777777777778	14
630	406.409090909091	M	2	afraid.jpg	10JU	1	afraid	1366	768	260	102	1106	666	S	2	47.3433338048559	0.144444444444444	2
667.106382978723	506.265957446808	M	2	afraid.jpg	10JU	1	afraid	1366	768	260	102	1106	666	S	2	47.3433338048559	0.633333333333333	3
620.549019607843	388.450980392157	M	2	afraid.jpg	10JU	1	afraid	1366	768	260	102	1106	666	S	2	47.3433338048559	0.7	4
660.458333333333	508.458333333333	M	2	afraid.jpg	10ML	1	angry	1366	768	209	68	1156	700	S	3	47.3433338048559	0.333333333333333	2
707.148148148148	405.203703703704	M	2	afraid.jpg	10ML	1	angry	1366	768	209	68	1156	700	S	3	47.3433338048559	0.366666666666667	3
605.09756097561	382.182926829268	M	2	afraid.jpg	10ML	1	angry	1366	768	209	68	1156	700	S	3	47.3433338048559	0.566666666666667	4
581.212121212121	414.651515151515	M	2	afraid.jpg	11IS	1	happy	1366	768	209	68	1156	700	S	4	47.3433338048559	0.455555555555555	2
646.461538461538	535.346153846154	M	2	afraid.jpg	11IS	1	happy	1366	768	209	68	1156	700	S	4	47.3433338048559	0.355555555555556	3
587.951219512195	391.012195121951	M	2	afraid.jpg	11IS	1	happy	1366	768	209	68	1156	700	S	4	47.3433338048559	0.544444444444445	4
684.111111111111	436.111111111111	M	2	afraid.jpg	12IS	1	neutral	1366	768	209	68	1156	700	S	5	47.3433338048559	0.122222222222222	2
661.3828125	525.9453125	M	2	afraid.jpg	12IS	1	neutral	1366	768	209	68	1156	700	S	5	47.3433338048559	0.888888888888889	3
713	378.547619047619	M	2	afraid.jpg	12IS	1	neutral	1366	768	209	68	1156	700	S	5	47.3433338048559	0.277777777777778	4
722	438	M	2	afraid.jpg	12IS	1	neutral	1366	768	209	68	1156	700	S	5	47.3433338048559	0.0111111111111111	5
647.272727272727	447.136363636364	M	2	afraid.jpg	13IS	1	afraid	1366	768	209	68	1156	700	S	6	47.3433338048559	0.144444444444444	2
666.837837837838	528.891891891892	M	2	afraid.jpg	13IS	1	afraid	1366	768	209	68	1156	700	S	6	47.3433338048559	0.5	3
608.25	396.18	M	2	afraid.jpg	13IS	1	afraid	1366	768	209	68	1156	700	S	6	47.3433338048559	0.688888888888889	4
675.821428571429	484.892857142857	M	2	afraid.jpg	14IS	1	sad	1366	768	209	68	1156	700	S	7	47.3433338048559	0.177777777777778	2
657.190476190476	543.345238095238	M	2	afraid.jpg	14IS	1	sad	1366	768	209	68	1156	700	S	7	47.3433338048559	0.577777777777778	3
648.017857142857	501.732142857143	M	2	afraid.jpg	15IS	1	angry	1366	768	209	68	1156	700	S	8	47.3433338048559	0.377777777777778	2
694.282608695652	348.565217391304	M	2	afraid.jpg	15IS	1	angry	1366	768	209	68	1156	700	S	8	47.3433338048559	0.3	3
682.166666666667	510.9375	M	2	afraid.jpg	16JU	1	sad	1366	768	209	68	1156	700	S	9	47.3433338048559	0.333333333333333	2
706.25	403.931818181818	M	2	afraid.jpg	16JU	1	sad	1366	768	209	68	1156	700	S	9	47.3433338048559	0.288888888888889	3
675.333333333333	515.409090909091	M	2	afraid.jpg	16JU	1	sad	1366	768	209	68	1156	700	S	9	47.3433338048559	0.455555555555555	4
688.722222222222	458.833333333333	M	2	afraid.jpg	16JU	1	sad	1366	768	209	68	1156	700	S	9	47.3433338048559	0.122222222222222	5
661.794117647059	480.676470588235	M	2	afraid.jpg	17JU	1	afraid	1366	768	209	68	1156	700	S	10	47.3433338048559	0.211111111111111	2
662.176470588235	544.166666666667	M	2	afraid.jpg	17JU	1	afraid	1366	768	209	68	1156	700	S	10	47.3433338048559	0.7	3
602.270833333333	417.822916666667	M	2	afraid.jpg	17JU	1	afraid	1366	768	209	68	1156	700	S	10	47.3433338048559	0.644444444444444	4
631.441176470588	412.794117647059	M	2	afraid.jpg	19IS	1	happy	1366	768	209	68	1156	700	S	11	47.3433338048559	0.211111111111111	2
727.181034482759	395.137931034483	M	2	afraid.jpg	19IS	1	happy	1366	768	209	68	1156	700	S	11	47.3433338048559	0.8	3
606.053571428571	397.767857142857	M	2	afraid.jpg	19IS	1	happy	1366	768	209	68	1156	700	S	11	47.3433338048559	0.377777777777778	4
918	631.125	M	2	afraid.jpg	1IS	0	afraid	1920	1080	294	96	1625	984	S	12	59.652775568415	0.0777777777777778	2
931.5	702	M	2	afraid.jpg	1IS	0	afraid	1920	1080	294	96	1625	984	S	12	59.652775568415	-0.0111111111111111	3
936.547619047619	736.428571428571	M	2	afraid.jpg	1IS	0	afraid	1920	1080	294	96	1625	984	S	12	59.652775568415	0.333333333333333	4
937.692307692308	565.576923076923	M	2	afraid.jpg	1IS	0	afraid	1920	1080	294	96	1625	984	S	12	59.652775568415	0.166666666666667	5
1014.20408163265	590.510204081633	M	2	afraid.jpg	1IS	0	afraid	1920	1080	294	96	1625	984	S	12	59.652775568415	0.655555555555556	6
684.010416666667	436.645833333333	M	2	afraid.jpg	1JU	1	afraid	1366	768	260	102	1106	666	S	13	47.3433338048559	0.644444444444444	2
646.5	522.5	M	2	afraid.jpg	1JU	1	afraid	1366	768	260	102	1106	666	S	13	47.3433338048559	0.0222222222222224	3
619.53488372093	414.162790697674	M	2	afraid.jpg	22ML	1	afraid	1366	768	209	68	1156	700	S	14	47.3433338048559	0.588888888888889	2
711.88	382.4	M	2	afraid.jpg	22ML	1	afraid	1366	768	209	68	1156	700	S	14	47.3433338048559	0.322222222222222	3
650.583333333333	548.041666666667	M	2	afraid.jpg	22ML	1	afraid	1366	768	209	68	1156	700	S	14	47.3433338048559	0.155555555555556	4
893.861111111111	562.527777777778	M	2	afraid.jpg	24ML	1	neutral	1920	1080	294	96	1625	984	S	15	59.652775568415	0.488888888888889	2
1002	572.392857142857	M	2	afraid.jpg	24ML	1	neutral	1920	1080	294	96	1625	984	S	15	59.652775568415	0.177777777777778	3
974.78125	691.78125	M	2	afraid.jpg	24ML	1	neutral	1920	1080	294	96	1625	984	S	15	59.652775568415	0.2	4
955.458333333333	551	M	2	afraid.jpg	24ML	1	neutral	1920	1080	294	96	1625	984	S	15	59.652775568415	0.155555555555555	5
1014.40625	565.9375	M	2	afraid.jpg	24ML	1	neutral	1920	1080	294	96	1625	984	S	15	59.652775568415	0.2	6
673.603448275862	541.689655172414	M	2	afraid.jpg	25ML	0	neutral	1366	768	209	68	1156	700	S	16	47.3433338048559	0.388888888888889	2
614.46875	389.34375	M	2	afraid.jpg	25ML	0	neutral	1366	768	209	68	1156	700	S	16	47.3433338048559	0.444444444444444	3
665.3125	440.4375	M	2	afraid.jpg	25ML	0	neutral	1366	768	209	68	1156	700	S	16	47.3433338048559	0.2	4
1017	554.1875	M	2	afraid.jpg	26ML	1	happy	1920	1080	294	96	1625	984	S	17	59.652775568415	0.111111111111111	2
915.147058823529	699.441176470588	M	2	afraid.jpg	26ML	1	happy	1920	1080	294	96	1625	984	S	17	59.652775568415	0.211111111111111	3
913.392857142857	776.160714285714	M	2	afraid.jpg	26ML	1	happy	1920	1080	294	96	1625	984	S	17	59.652775568415	0.777777777777778	4
875	600.8	M	2	afraid.jpg	27ML	1	neutral	1920	1080	294	96	1625	984	S	18	59.652775568415	0.4	2
998.177419354839	629.967741935484	M	2	afraid.jpg	27ML	1	neutral	1920	1080	294	96	1625	984	S	18	59.652775568415	0.411111111111111	3
930	750.823529411765	M	2	afraid.jpg	27ML	1	neutral	1920	1080	294	96	1625	984	S	18	59.652775568415	0.211111111111111	4
653.56	540.68	M	2	afraid.jpg	28ML	1	neutral	1366	768	209	68	1156	700	S	19	47.3433338048559	0.322222222222222	2
710.133333333333	439.333333333333	M	2	afraid.jpg	28ML	1	neutral	1366	768	209	68	1156	700	S	19	47.3433338048559	0.4	3
619.923076923077	422.326923076923	M	2	afraid.jpg	28ML	1	neutral	1366	768	209	68	1156	700	S	19	47.3433338048559	0.355555555555555	4
729.1875	420	M	2	afraid.jpg	28ML	1	neutral	1366	768	209	68	1156	700	S	19	47.3433338048559	0.444444444444444	5
695.5	430.730769230769	M	2	afraid.jpg	2ML	1	neutral	1366	768	209	68	1156	700	S	20	47.3433338048559	0.166666666666667	2
673.6	538.625	M	2	afraid.jpg	2ML	1	neutral	1366	768	209	68	1156	700	S	20	47.3433338048559	0.533333333333333	3
626.366666666667	412.416666666667	M	2	afraid.jpg	2ML	1	neutral	1366	768	209	68	1156	700	S	20	47.3433338048559	0.4	4
