"lon","lat","medv","crim","zn","indus","chas","nox","rm","age","dis","rad","tax","ptratio","b","lstat"
-71.042,42.1985,7,45.7461,0,18.1,"0",0.693,4.519,100,1.6582,24,666,20.2,88.27,36.98
-71.031,42.1695,19.5,6.65492,0,18.1,"0",0.713,6.317,83,2.7344,24,666,20.2,396.9,13.99
-71.0965,42.247,29.9,0.06642,0,4.05,"0",0.51,6.86,74.4,2.9153,5,296,16.6,391.27,6.92
-70.9645,42.292,20.4,0.62976,0,8.14,"0",0.538,5.949,61.8,4.7075,4,307,21,396.9,8.26
-71.1633,42.303,29.1,0.01439,60,2.93,"0",0.401,6.604,18.8,6.2196,1,265,15.6,376.7,4.38
-71.0577,42.1967,8.3,15.8603,0,18.1,"0",0.679,5.896,95.4,1.9096,24,666,20.2,7.68,24.39
-71.057,42.1525,28.4,0.05479,33,2.18,"0",0.472,6.616,58.1,3.37,7,222,18.4,393.36,8.93
-71.0285,42.262,19.2,0.15098,0,10.01,"0",0.547,6.021,82.6,2.7474,6,432,17.8,394.51,10.3
-71.12,42.0725,22.5,0.06466,70,2.24,"0",0.4,6.345,20.1,7.8278,5,358,14.8,368.24,4.97
-71.11,42.185,46.7,0.29819,0,6.2,"0",0.504,7.686,17,3.3751,8,307,17.4,377.51,3.92
-71.232,42.1725,23.7,0.12757,30,4.93,"0",0.428,6.393,7.8,7.0355,6,300,16.6,374.71,5.19
-70.991,42.2275,20.6,0.04527,0,11.93,"0",0.573,6.12,76.7,2.2875,1,273,21,396.9,9.08
-71.0339,42.2207,13.8,11.1081,0,18.1,"0",0.668,4.906,100,1.1742,24,666,20.2,396.9,34.77
-71.059,42.217,15.3,1.12658,0,19.58,"1",0.871,5.012,88,1.6102,5,403,14.7,343.28,12.12
-71.0345,42.2785,28.7,0.05302,0,3.41,"0",0.489,7.079,63.1,3.4145,2,270,17.8,396.06,5.7
-71.03,42.272,22.6,0.04684,0,3.41,"0",0.489,6.417,66.1,3.0923,2,270,17.8,392.18,8.81
-71.269,42.1482,20.9,0.03548,80,3.64,"0",0.392,5.876,19.1,9.2203,1,315,16.4,395.18,9.25
-71.22,42.2715,33.3,0.04011,80,1.52,"0",0.404,7.287,34.1,7.309,2,329,12.6,396.9,4.08
-71.0245,42.2368,8.1,0.20746,0,27.74,"0",0.609,5.093,98,1.8226,4,711,20.1,318.43,29.68
-71.0321,42.1925,10.5,22.0511,0,18.1,"0",0.74,5.818,92.4,1.8662,24,666,20.2,391.45,22.11
-70.9275,42.0795,23.1,0.0187,85,4.15,"0",0.429,6.516,27.7,8.5353,4,351,17.9,392.43,6.36
-71.0677,42.2335,17.4,0.32264,0,21.89,"0",0.624,5.942,93.5,1.9669,4,437,21.2,378.25,16.9
-71.0565,42.188,16.7,4.87141,0,18.1,"0",0.614,6.484,93.6,2.3053,24,666,20.2,396.21,18.68
-70.853,42.052,18.2,0.04301,80,1.91,"0",0.413,5.663,21.9,10.5857,4,334,22,382.8,8.05
-71.01,42.1215,22.2,0.24103,0,7.38,"0",0.493,6.083,43.7,5.4159,5,287,19.6,396.9,12.79
-70.964,42.284,13.9,0.84054,0,8.14,"0",0.538,5.599,85.7,4.4546,4,307,21,303.42,16.51
-70.936,42.297,22.9,0.08829,12.5,7.87,"0",0.524,6.012,66.6,5.5605,5,311,15.2,395.6,12.43
-70.992,42.238,16.8,0.22438,0,9.69,"0",0.585,6.027,79.7,2.4982,6,391,19.2,396.9,14.33
