vaccine_intention,age,age_finished_education,education_level,gender,income_household,income_personal,marital_status,social_grade,region,past_vote_ge2019,past_vote_euref,recoded_education_level
Very likely,34,20,"University or CNAA first degree (e.g. BA, B.Sc, B.Ed)",Female,Prefer not to answer,"under £5,000 per year",Married,C1,London,Labour,I voted to Remain,Level-3
Very likely,74,15 or under,City & Guilds certificate,Male,Prefer not to answer,Prefer not to answer,Divorced,D,East Midlands,Conservative,I voted to Leave,Professional
Very likely,56,20,"University or CNAA higher degree (e.g. M.Sc, Ph.D)",Male,"£50,000 to £59,999 per year","£35,000 to £39,999 per year",Married,B,South West,Green,I voted to Remain,Level-4
Not applicable – I have already received at least one dose of the Covid-19 vaccine,60,20,"University or CNAA first degree (e.g. BA, B.Sc, B.Ed)",Female,"£40,000 to £44,999 per year","£20,000 to £24,999 per year",Living as married,C1,South East,Conservative,I voted to Leave,Level-3
Not applicable – I have already received at least one dose of the Covid-19 vaccine,65,15 or under,No formal qualifications,Male,"£5,000 to £9,999 per year","£5,000 to £9,999 per year",Never married,E,Wales,Plaid Cymru,I voted to Leave,Level-0
Very likely,73,19,Scottish Higher Certificate,Male,"£40,000 to £44,999 per year","£35,000 to £39,999 per year",Married,A,South East,Liberal Democrat,I voted to Remain,Level-2
Not applicable – I have already received at least one dose of the Covid-19 vaccine,89,20,"University or CNAA first degree (e.g. BA, B.Sc, B.Ed)",Male,"£35,000 to £39,999 per year","£20,000 to £24,999 per year",Married,A,South East,Labour,I did not vote,Level-3
Not applicable – I have already received at least one dose of the Covid-19 vaccine,60,20,"Other technical, professional or higher qualification",Male,"£10,000 to £14,999 per year","£5,000 to £9,999 per year",Married,C1,Yorkshire and the Humber,Labour,I voted to Remain,Other
Very likely,75,15 or under,ONC,Female,Prefer not to answer,Prefer not to answer,Married,A,West Midlands,Brexit Party,I voted to Leave,NA
Very likely,68,17-18,"CSE grade 1, GCE O level, GCSE, School Certificate",Male,Prefer not to answer,Prefer not to answer,Never married,E,South West,NA,I did not vote,Level-1
Don’t know,37,17-18,"CSE grade 1, GCE O level, GCSE, School Certificate",Male,"£25,000 to £29,999 per year","£25,000 to £29,999 per year",Never married,D,East of England,Liberal Democrat,Can’t remember,Level-1
Not applicable – I have already received at least one dose of the Covid-19 vaccine,78,17-18,"CSE grade 1, GCE O level, GCSE, School Certificate",Female,"£35,000 to £39,999 per year","£15,000 to £19,999 per year",Married,B,South East,Conservative,I voted to Leave,Level-1
Very likely,51,20,GCE A level or Higher Certificate,Female,"£10,000 to £14,999 per year","£10,000 to £14,999 per year",Divorced,D,North West,NA,I voted to Leave,Level-2
Not applicable – I have already received at least one dose of the Covid-19 vaccine,62,16,City & Guilds certificate - advanced,Male,Don't know,Don't know,Never married,C2,North West,Brexit Party,I voted to Leave,Professional
Very likely,32,17-18,GCE A level or Higher Certificate,Female,"£30,000 to £34,999 per year","£15,000 to £19,999 per year",Living as married,C1,South West,Conservative,I voted to Leave,Level-2
Not applicable – I have already received at least one dose of the Covid-19 vaccine,48,20,"University or CNAA first degree (e.g. BA, B.Sc, B.Ed)",Female,"£150,000 and over","£20,000 to £24,999 per year",Married,A,Yorkshire and the Humber,Liberal Democrat,I voted to Remain,Level-3
Not applicable – I have already received at least one dose of the Covid-19 vaccine,53,20,"University or CNAA higher degree (e.g. M.Sc, Ph.D)",Male,"under £5,000 per year","under £5,000 per year",Married,C1,North East,Labour,I voted to Remain,Level-4
Not applicable – I have already received at least one dose of the Covid-19 vaccine,84,16,"CSE grade 1, GCE O level, GCSE, School Certificate",Male,"£25,000 to £29,999 per year","£25,000 to £29,999 per year",Married,B,West Midlands,Other,I voted to Leave,Level-1
Very likely,38,19,Scottish Higher Certificate,Female,Prefer not to answer,Prefer not to answer,Living as married,C2,Scotland,Liberal Democrat,I voted to Remain,Level-2
Very likely,56,17-18,City & Guilds certificate - advanced,Male,"£20,000 to £24,999 per year","£20,000 to £24,999 per year",Never married,C1,North West,Labour,I did not vote,Professional
Not applicable – I have already received at least one dose of the Covid-19 vaccine,47,20,GCE A level or Higher Certificate,Male,"£45,000 to £49,999 per year","£25,000 to £29,999 per year",Never married,C2,South East,Conservative,I voted to Leave,Level-2
Very likely,72,16,"University or CNAA first degree (e.g. BA, B.Sc, B.Ed)",Male,"£50,000 to £59,999 per year",Prefer not to answer,Married,B,South West,Conservative,I voted to Leave,Level-3
Not applicable – I have already received at least one dose of the Covid-19 vaccine,92,19,GCE A level or Higher Certificate,Male,"£20,000 to £24,999 per year",Prefer not to answer,Widowed,C1,London,Conservative,I voted to Leave,Level-2
Not applicable – I have already received at least one dose of the Covid-19 vaccine,64,16,"CSE grade 1, GCE O level, GCSE, School Certificate",Male,Prefer not to answer,"under £5,000 per year",Civil Partnership,C2,South East,NA,I voted to Leave,Level-1
Not applicable – I have already received at least one dose of the Covid-19 vaccine,46,16,"Other technical, professional or higher qualification",Male,"£40,000 to £44,999 per year","£40,000 to £44,999 per year",Married,C1,West Midlands,Green,I voted to Leave,Other
Very likely,79,17-18,"Other technical, professional or higher qualification",Male,"£10,000 to £14,999 per year","£10,000 to £14,999 per year",Living as married,E,East Midlands,Labour,I did not vote,Other
Not applicable – I am medically exempt,39,16,"University or CNAA first degree (e.g. BA, B.Sc, B.Ed)",Female,Prefer not to answer,Prefer not to answer,Never married,C2,London,NA,I did not vote,Level-3
Not applicable – I have already received at least one dose of the Covid-19 vaccine,75,20,"Other technical, professional or higher qualification",Female,Don't know,Prefer not to answer,Married,B,North West,Labour,I voted to Remain,Other
Not applicable – I have already received at least one dose of the Covid-19 vaccine,55,17-18,GCE A level or Higher Certificate,Male,"£5,000 to £9,999 per year","£5,000 to £9,999 per year",Never married,C2,East of England,Labour,I voted to Remain,Level-2
Very likely,70,16,No formal qualifications,Female,Don't know,Don't know,Living as married,C2,West Midlands,Green,I voted to Leave,Level-0
Not applicable – I have already received at least one dose of the Covid-19 vaccine,73,16,"CSE grade 1, GCE O level, GCSE, School Certificate",Male,"£45,000 to £49,999 per year","£40,000 to £44,999 per year",Married,C1,North West,Conservative,I voted to Leave,Level-1
Not applicable – I have already received at least one dose of the Covid-19 vaccine,36,20,"University or CNAA first degree (e.g. BA, B.Sc, B.Ed)",Female,Prefer not to answer,"under £5,000 per year",Never married,C2,London,Labour,I did not vote,Level-3
Not applicable – I have already received at least one dose of the Covid-19 vaccine,78,16,"CSE grade 1, GCE O level, GCSE, School Certificate",Female,"£10,000 to £14,999 per year","£10,000 to £14,999 per year",Divorced,E,West Midlands,Conservative,I voted to Leave,Level-1
Not applicable – I have already received at least one dose of the Covid-19 vaccine,76,17-18,"Other technical, professional or higher qualification",Male,"£25,000 to £29,999 per year","£15,000 to £19,999 per year",Married,A,North West,Liberal Democrat,I voted to Remain,Other
Very likely,43,20,"University or CNAA first degree (e.g. BA, B.Sc, B.Ed)",Male,"£100,000 to £149,999 per year","£70,000 to £99,999 per year",Married,C1,South East,Liberal Democrat,I voted to Remain,Level-3
Not applicable – I have already received at least one dose of the Covid-19 vaccine,29,20,"University or CNAA first degree (e.g. BA, B.Sc, B.Ed)",Female,"£45,000 to £49,999 per year","£45,000 to £49,999 per year",Never married,C2,Wales,NA,I voted to Leave,Level-3
Not applicable – I have already received at least one dose of the Covid-19 vaccine,73,17-18,"CSE grade 1, GCE O level, GCSE, School Certificate",Male,"£30,000 to £34,999 per year","£25,000 to £29,999 per year",Married,C1,South East,Liberal Democrat,I voted to Remain,Level-1
Very likely,58,20,"University or CNAA first degree (e.g. BA, B.Sc, B.Ed)",Male,Prefer not to answer,"£20,000 to £24,999 per year",Divorced,B,Yorkshire and the Humber,Conservative,I voted to Leave,Level-3
Very likely,54,20,"University or CNAA first degree (e.g. BA, B.Sc, B.Ed)",Male,Prefer not to answer,Prefer not to answer,Married,B,North West,Labour,I voted to Remain,Level-3
Very likely,49,16,"CSE grade 1, GCE O level, GCSE, School Certificate",Male,Prefer not to answer,Prefer not to answer,Never married,E,East of England,Conservative,I voted to Leave,Level-1
Not applicable – I have already received at least one dose of the Covid-19 vaccine,81,17-18,No formal qualifications,Male,Prefer not to answer,Prefer not to answer,Married,C1,Wales,Conservative,I voted to Leave,Level-0
Not applicable – I have already received at least one dose of the Covid-19 vaccine,48,20,"University or CNAA first degree (e.g. BA, B.Sc, B.Ed)",Male,"£50,000 to £59,999 per year","£50,000 to £59,999 per year",Married,C1,London,Labour,I voted to Remain,Level-3
Not applicable – I have already received at least one dose of the Covid-19 vaccine,44,19,"University or CNAA first degree (e.g. BA, B.Sc, B.Ed)",Female,"£50,000 to £59,999 per year","£20,000 to £24,999 per year",Married,A,East Midlands,Labour,I voted to Remain,Level-3
Very likely,43,20,"Other technical, professional or higher qualification",Female,"£70,000 to £99,999 per year","£50,000 to £59,999 per year",Married,B,South East,Labour,I voted to Remain,Other
Not applicable – I have already received at least one dose of the Covid-19 vaccine,77,17-18,Teaching qualification (not degree),Female,"£15,000 to £19,999 per year","£15,000 to £19,999 per year",Divorced,C2,Wales,Conservative,I voted to Remain,Level-3
Not applicable – I have already received at least one dose of the Covid-19 vaccine,74,15 or under,City & Guilds certificate,Male,Prefer not to answer,Don't know,Living as married,C1,North West,NA,I voted to Leave,Professional
Not applicable – I have already received at least one dose of the Covid-19 vaccine,74,20,"University or CNAA higher degree (e.g. M.Sc, Ph.D)",Male,"£45,000 to £49,999 per year","£45,000 to £49,999 per year",Married,B,South East,Other,I voted to Remain,Level-4
Very likely,76,20,"University or CNAA first degree (e.g. BA, B.Sc, B.Ed)",Male,"£70,000 to £99,999 per year","£35,000 to £39,999 per year",Married,A,Scotland,Conservative,I voted to Leave,Level-3
Very unlikely,66,16,"Other technical, professional or higher qualification",Female,"£30,000 to £34,999 per year","£5,000 to £9,999 per year",Married,D,East Midlands,Conservative,I voted to Leave,Other
Not applicable – I have already received at least one dose of the Covid-19 vaccine,53,16,"CSE grade 1, GCE O level, GCSE, School Certificate",Female,"£10,000 to £14,999 per year","£5,000 to £9,999 per year",Divorced,C2,Yorkshire and the Humber,Labour,I voted to Leave,Level-1
Very likely,84,16,"CSE grade 1, GCE O level, GCSE, School Certificate",Female,"£10,000 to £14,999 per year","£10,000 to £14,999 per year",Widowed,B,Wales,NA,I voted to Leave,Level-1
Very likely,79,16,"Other technical, professional or higher qualification",Male,"£25,000 to £29,999 per year","£25,000 to £29,999 per year",Married,A,South East,Conservative,I voted to Leave,Other
